"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","mate_success","repo_fit","Organ","Sex"
"FLG2F7",-207.998420017519,142.570743329027,4.26812614934229,-23.3660831368101,3.84590134527763,-21.3725316649481,22.2480657176679,-7.36869412725507,-58.1855980709714,5.97915844280811,6.94702680310177,15.184702439267,-13.7128265700765,-10.6799531900967,6.2727448237358,10.2456545767331,46.6785881440032,-78.3367149530603,-34.6087520903427,-39.6563960312319,-6.82739612489705,27.0600515172757,31.6905702121839,27.0906715878377,1.25299891868388,1.64424841430077,-58.1183881980552,29.4770120293089,9.74880675250439e-12,1,169,"Gill","F"
"FLG3F1",-208.423543024381,140.067328600752,-1.68048729716048,-32.8256318588353,-185.623775534231,131.888899855473,33.3838063770087,-2.75741043287368,5.71528409055799,11.4618362934518,18.4010428181611,-32.4806349471009,9.55642294988514,4.0153061980763,8.73593895795562,19.9156651946322,-6.98602282634651,9.68296359826532,-9.41088652502919,-10.942000309582,16.4335364739002,-13.4324100678398,17.3651423546073,-15.3098003385939,0.421698801695444,0.0358971861379665,11.1605808913273,-0.114970348279773,2.39705562053738e-12,1,88,"Gill","F"
"FLG3F2",-192.540306038072,134.338211202094,4.74043698798686,-12.5742545622581,14.9002521029307,-81.2960546022254,45.8011738424311,-33.715152481169,-25.9995884846562,-29.0837202563769,6.96577019599894,14.7589224685101,13.4032541322296,-3.94018033173422,33.6215179939287,17.2949962857743,-27.2684033939098,79.1504957798577,-43.4346067697585,11.4689892046554,10.8600665045965,26.9533583859461,47.6644927235825,45.9343032876233,-3.39406537455577,7.36816851229247,34.3132891954428,6.04750571523083,1.77466932954075e-12,3,762,"Gill","F"
"FLG3M5",-223.741894830571,157.286037615517,8.20310786161296,-41.2369730704345,34.5770720428021,-21.5288924453395,-0.110937217732727,14.399305015115,-6.47951281943804,-26.3701021862328,-35.8131657422623,-15.8010995065708,13.9928842491689,-24.3746946730694,4.16729491407151,-7.86319699552203,-1.40858182004297,-27.8411995388309,-6.09988958206796,46.5685568860966,6.39111432174642,-37.9184539849502,-9.66856325969694,-33.7533828212212,66.8022763221455,71.4400624124363,9.09443524750954,-7.49379219589341,4.45828839679683e-12,1,285,"Gill","M"
"FLG3M7",-185.308170142627,116.274873143051,6.33924765329691,-7.06731044738026,23.5455554222689,-54.2041951332122,66.2470173244125,5.10507543336969,-6.16399639347815,0.136824646639673,17.8907886051903,32.5103158828748,-13.9251583916063,-26.3653692780305,11.2873521469063,-1.02707504873819,-16.5000031676975,-1.46139174488886,61.2413275518351,-31.902897160952,8.81684714122925,-34.7795626078236,3.72201988350298,-33.4562849117644,38.9288016395534,-77.3316306010663,5.88045887874386,-9.5849818107486,8.17141581450301e-13,2,467,"Gill","M"
"FLG3M8",-212.886945011639,148.600238502848,5.81679779659957,-34.965929484213,42.5225787091517,-23.8078051753747,0.531109542674632,8.09585397153184,5.28286234528657,-5.78388727879686,-15.1622852951239,25.2374156114825,-7.01726111573502,45.2678688316952,-1.6912085716357,25.7210256240101,-4.56046929725571,-7.45572601499803,23.3173783618562,3.47192949738123,18.3236161924474,3.29085620921391,3.0452962201416,-65.5443343161535,-95.7002326890728,21.6033345435788,1.62825168811519,-5.24696290087761,1.40153648981053e-12,2,500,"Gill","M"
"FLG4M3",-194.93645224793,138.88767301386,3.98806653227203,-19.673257979533,-25.5774401905609,16.1954625531335,36.6620586551524,-29.8303068652697,-14.5896761481337,-45.2760241133877,21.687121661218,11.6065035584832,-29.7565375482101,8.85080280277892,-18.3981600803187,-38.8398551824598,1.94110039456812,-2.0094118663658,38.2346274167228,45.07791672967,-48.1369074200401,30.7369165533221,-83.4053736603302,46.6644351173667,-14.7071063539386,-4.0073520916073,-2.28998483533142,-7.74137174822765,4.64431733698746e-12,1,427,"Gill","M"
"FLG4M4",-154.248239719874,63.5006279499013,-33.7567337069654,417.813165230767,8.43041122959634,10.8416724819726,-28.5231937737539,10.2541073549466,13.3742161586415,11.9302285368147,-3.67691262794817,-5.0893989580189,4.4562737310359,1.67084392442844,-5.31847440322368,-2.4304550470671,-0.154708693896599,1.14670131230886,-3.45037346590276,-0.404802170773638,-0.562204799150606,-1.25225367015123,-1.14435176839298,1.50642912230028,0.0512638621381233,1.16937925797886,-0.354107972416959,-0.0850367887091097,5.41362639531204e-13,2,156,"Gill","M"
"FLG8F3",-279.158213003113,211.128454976093,1.60315743682224,-107.083202807182,65.8583240294639,35.466189832877,-138.008053903759,36.151199212035,63.6016965360393,62.5093233151847,-11.5546959506159,-27.9592239975059,21.3014716587152,5.85891773830097,-28.3035783273049,-21.5485974343143,0.680002501251539,23.1099908957006,-13.6459134034697,-19.320835853508,-1.6928705893541,2.66196028846477,-5.6539572825054,26.493821425721,6.44958078875716,-26.6356158440032,1.51051793519522,-2.82893612069666,1.92464364825768e-12,0,0,"Gill","F"
"FLL2F7",244.109399755463,81.8016155573522,-11.5206415865593,-2.86001652782286,7.00370136715149,9.34957649349489,-58.4081574695775,63.8972101801664,-180.676296380455,26.693053882757,58.067356608199,-20.6856940916908,-2.61384651857718,2.08032255712314,-17.2347167428679,3.56345466145174,-20.5089365459061,24.7342460256574,8.0389318166604,12.3766371567992,4.47965418304304,-9.9738724105482,-7.99893569682719,-9.78663659540202,-0.882474916713472,-0.359912295289167,-2.7200813381142,4.17094302403922,-3.15729137373932e-12,1,169,"Liver","F"
"FLL3F1",246.896789765891,85.2214718043687,-2.47798100989989,-6.17027008255048,-85.6886313063444,-30.4444876203387,-49.0783704149419,51.3398737077778,12.7661179947725,-17.4479114776236,-51.2041127065538,138.741808817908,69.7546732375842,-35.5158361509066,3.51344694398228,-15.8055765733264,10.1708719354829,0.577241864771251,-8.46801896653733,-4.88083921041349,-15.8122139915067,0.290674343128052,-10.8996513748737,-1.66407977744734,-4.54041980171871,-0.960884540076604,4.90986026762102,5.30063116734976,-1.42981715131455e-12,1,88,"Liver","F"
"FLL3F2",212.550512213894,75.4316898010091,4.77733097101649,-0.84551738929018,-65.8426761231429,-119.603678417554,-36.7781484604262,-87.8033294799648,27.3627976223569,9.76743295596575,40.9234755164744,-77.2747068757446,86.100789889006,38.7534380689238,-14.022788211173,-3.07257875591932,5.55450804477245,-27.9173368154469,28.8474414375857,0.454307485150235,3.74506672554021,2.97919563242045,-0.339607935390429,-2.11839723186839,1.39924368451674,-0.761617522058064,2.38554303553202,5.02869050749331,-3.2661819721004e-12,3,762,"Liver","F"
"FLL3F4",223.513178082013,92.9679358642952,7.00964539082122,-2.4284949571792,-68.1007497712477,-66.8905366001248,-23.4175382688672,-21.9417909927553,5.3898275091437,48.9551655380478,-98.812726542833,-31.0457129188146,-133.798180195581,-15.6298368542061,-5.04556888142933,-10.443614557266,-3.3792713780608,10.1646767514086,-1.00013486519321,1.94231779050974,-1.35881075095101,-1.067927043815,8.25961853075861,1.38073012283022,-2.46561041376925,0.490580112136931,-5.70415793615556,-15.8996457258079,-3.30844106925516e-12,3,916,"Liver","F"
"FLL3M5",217.717590127807,69.9161295844366,4.43040308544909,0.152137399999523,39.5021866928844,38.4980727149238,24.7983429663183,60.0951840629764,0.39702519280329,-99.8545220434242,-71.35235755969,-97.1471211246004,36.4775168994955,-36.5349188174809,50.1671758851379,-11.6425068871829,7.57495888241067,7.01196852631456,19.6967503578318,-39.069178264008,-8.52053066584243,18.3468936617884,-2.77655805878306,3.63797904074804,-15.6929579675303,-7.45836265521845,-2.37244525759072,1.62928478232723,-3.94484359390076e-12,1,285,"Liver","M"
"FLL3M7",234.608715392102,85.4083177787351,18.6214431716033,-3.42272359426612,24.2975728069145,-9.00538718629549,112.14541962904,92.1631800859323,65.855118885309,102.253281513262,57.6106592596808,-15.2691777158552,8.02442722329809,-18.8350092254925,17.6538061920941,-44.0714822685768,11.5735816677911,-5.07028293802487,-18.8826629502773,31.3386324830281,0.12694037056532,18.3187190372461,0.46350008599883,-3.33846147283463,-9.86032071337978,7.86187683731858,0.811384348579972,1.48431023773197,-3.3604076789815e-12,2,467,"Liver","M"
"FLL3M8",234.488288947936,83.8953043774004,6.84547828747878,-3.20821913868292,25.654219222333,21.3911475887593,31.9074418645051,47.6701880798278,29.9545966249744,-17.8040249336537,-19.1140145410872,20.1150038327923,-13.8496067796755,128.594591710406,-10.7157167610834,91.9527358490882,7.12807870354305,-3.1188108653214,-0.419746045033862,3.85915832879616,-13.2668463561114,-14.7131858240964,-2.81253140338067,25.5263344368493,31.9399407520219,-5.60740673705259,-0.730247882248478,0.38209266331505,-3.70280745287991e-12,2,500,"Liver","M"
"FLL4M3",220.528051309815,80.0901638296226,5.90247656706409,-0.568056852525103,28.6595548475805,42.1650052453563,4.32519506161742,-36.5005379970489,26.9153757572095,-86.6394296591214,47.3784562837613,21.7132504808099,-38.1496842304788,25.1657071613281,-80.0531738840424,-90.8313458308696,7.77708653596114,7.57805961670374,-23.5343869698774,-14.2469019839034,9.85395857093558,-14.2816839108299,43.2707228104718,-16.5163073684447,4.13848769430236,2.06101932236155,2.03780070897818,2.80354854140482,-4.96245939509538e-12,1,427,"Liver","M"
"FLL4M4",224.263997373624,79.3827455725833,13.626070435444,0.256584140560094,79.4161788132172,97.0517739958251,45.6847135698807,-136.883814836863,-29.3690149767614,69.7455513791637,-56.9295473104523,24.3838991454137,44.4862460649785,-25.9549896415707,-10.691493946045,14.9859921022112,-28.8780235217102,-5.18417131204269,-0.19652528962299,-0.584748532533265,-7.17013341974997,-0.310182850515592,-5.18601850502869,-0.469533074063869,-1.85114509572363,-0.388836602359435,1.18388845325624,-0.358874756654096,-2.73314104841708e-12,2,156,"Liver","M"
"FLL8F3",211.01445065972,72.9251760775598,-1.4408565484091,-5.13442390847792,24.9503328313108,26.1553636844469,-70.7466420691281,-38.981163038667,56.5900736972508,-37.0086596207756,92.3418869573279,21.8651763967113,-54.7767065815073,-62.3977229898215,68.1755640980044,62.1245470031564,0.327357632406962,-15.2341605610093,-0.48778211407009,6.74101897228977,36.5555905930189,1.99095756847162,-19.1219495961678,5.5611016960155,-1.47425478592757,6.08704350536292,0.592103252781233,-2.55465537380008,-2.57528416655411e-12,0,0,"Liver","F"
"FLO2F7",-33.1818158147383,-194.63660604107,-181.090983669535,-17.1417117511561,10.7553359292189,-1.45576266799897,2.3761840783373,2.78089055537588,-34.0776524923373,9.46653332907112,4.6757274989304,-0.714179181677762,-3.61417282435122,3.48186017595138,-0.336726957671992,-2.96508378937435,38.4864392008403,-52.8169976726841,-26.9958238359256,-28.3974303211509,-5.04287474310813,1.24879160989059,-2.70711470514104,14.1968480330057,-8.80136030619964,-3.45512142296826,74.9936641048823,-57.9430364086235,1.14989088875208e-12,1,169,"Ovaries","F"
"FLO3F1",-36.3534441578898,-222.696478772127,-212.633500219402,-21.6751525044806,-5.71884516063619,17.5342620952552,-2.45445780221229,20.079512128982,8.05327489056639,-4.8331854375034,-19.9623173877159,15.6572768827027,18.6035996859833,7.78076799423981,-6.05966590278588,-16.9240136072505,-38.6239269601424,-8.25567896967424,48.8057389435208,37.0501702689498,67.7750688331307,22.0216966757112,33.3257759177825,33.5974538196593,3.44677483316875,3.42703759088684,-45.7414963474599,-29.9587865375397,-2.51684016713111e-12,1,88,"Ovaries","F"
"FLO3F2",-33.4213658376017,-166.661777971147,-146.380968624472,-16.8717911009432,-2.68563065576974,-30.7637249717115,24.2160823444503,-23.5901505346422,8.71037356201606,-7.63504348564851,12.9017938755753,-10.9645848813869,16.0153124442829,5.2710280502797,7.87484523613499,5.7098023206563,6.02443773238674,52.4739874066855,-70.8792040178876,-24.8803349639736,-11.3491467295239,-33.1692648776162,-53.2586145742964,-27.8138709601576,-1.17569130142679,-4.00811171415515,-59.3532437288816,-28.5027483701468,8.03312538694536e-13,3,762,"Ovaries","F"
"FLO3F4",-38.1691053116301,-207.764407653412,-185.99833367372,-19.9481332919118,3.133355311971,-5.72924441482371,8.5143351638502,-0.680380056082944,5.96177412116986,6.64808214213176,-23.8021895362158,-5.44743244752839,-20.5216937745351,7.32966699293263,-7.31746978050424,-10.3712940990005,-1.66893325633682,-1.02845338067921,-5.56280495331633,-4.20369066919731,38.515532949506,-5.96159800727592,-38.9770754141989,-4.4169987647584,1.67961947533693,-5.10008486536707,30.5921703941087,95.1757760402723,-1.6186951749147e-13,3,916,"Ovaries","F"
"FLO8F3",-34.3890921621235,-188.873331073888,-166.597744662125,-23.1626763333683,4.96019738156754,15.3224660813608,-29.8866673475369,-6.45868975508575,21.2132124690113,5.87143953863111,23.2557959388473,-3.21931083228765,-11.5427656189882,-16.7729692352678,15.0995685257058,18.892485220843,1.69376112764077,14.8782489750102,32.1257445638772,21.9380905858395,-109.687226097944,6.70090986154311,55.2242715239731,-24.8553362467362,3.94430168689792,6.38541638837598,-4.44608838784781,18.471806033325,8.80395999565365e-13,0,0,"Ovaries","F"
"FLT2M3",-44.9796501121136,-209.385636229342,149.241938283463,-2.33867599861576,-4.42421566317839,-3.12267784164918,3.49385354079592,9.95269404455177,5.50340443506517,-5.1548861074831,-0.136523768938565,-2.76836432050835,-0.167318426614927,-26.8369164106114,-72.0309218160383,47.3717618965131,14.9926684169577,18.8598469009063,-1.08758543036819,-9.43652138435121,14.027639582009,97.4434321475862,-13.3620414672994,-41.9839508145309,31.6982548690843,0.342080126773528,4.03492052419824,-7.87310630268761,9.85542187139157e-13,1,159,"Testis","M"
"FLT3M5",-47.4005106533276,-212.402048455894,177.892050809543,-4.471328457888,-0.678787919207457,-6.47057732655032,-0.618862093113292,15.6968117181729,3.85485136196911,-29.8289563186094,-17.569000820199,-27.5765488362246,13.723242491385,-42.5254241094794,-42.7630217539502,33.2255936178155,-4.45662354359104,-29.9906596297174,-39.779589811869,72.9962601786815,-3.01358584448483,-49.747922943469,14.8293501694278,15.7292434191351,-31.3313207499496,-46.0636849647967,-0.720161806062854,4.44610026181978,3.76275701270906e-13,1,285,"Testis","M"
"FLT4M4",-46.7904837864311,-216.147644964754,179.119807733177,-0.219434118262158,8.97483110325565,25.8663845414266,-19.2218180166708,-33.2934163345114,-24.6656751031766,20.262324016126,-11.3452448419449,14.962390891051,2.4462183271549,37.9076377700369,65.1373923614556,-38.5584350157445,103.715686414532,38.7151339471891,29.6113686512556,20.2918981726197,21.9642851011419,-13.6326553485119,8.47204824011363,-0.5141458952653,5.9743402506516,-1.26543047595175,-3.6835050412275,0.180256547154822,1.8315483508904e-12,2,156,"Testis","M"
"FLT5M3",-48.5596239849547,-232.072382478134,194.137567602454,-3.29958781758399,-5.47586022803015,4.08038543187565,-28.6610347730796,2.10703359346601,-2.60750356905574,0.909639110315859,3.74641007322076,10.2395735561252,-10.7251499012628,55.6513091647299,70.3219220310481,-50.435607087818,-92.694376692204,-37.6646852094218,-27.9756193991509,-17.9498778026108,-17.7806516979098,19.4726572286547,-6.22854091470157,-12.5247158956407,10.0570802092847,-2.26340629964151,2.10160262568463,-0.232590241812739,2.50319137298652e-13,1,372,"Testis","M"
"FLT8M7",-47.2036977717262,-209.054424940749,147.015078242797,-5.66302959967359,-1.17094863655896,-16.1111065280327,23.5790819326638,20.0167177879572,16.3126311843174,20.1304782782749,23.6417825358881,6.46695067138265,-4.1714245070076,-31.3162482334682,-42.0458840900817,15.8270038275467,-17.2308462374497,15.3021198713976,46.0009973845595,-69.6994290822763,-7.64751831224119,-49.2760971732129,-3.79192305552371,46.7468853757947,-16.3077033183361,55.7513144216702,-0.996562820564235,1.82153807973329,1.19614216060747e-12,1,166,"Testis","M"
